Date,1N Endwall,1S Endwall,Blast ID
16/07/2020 14:35,0.24,0.24,5N32D11_FL5
16/07/2020 14:35,0.24,0.24,5N35H15_P2
21/07/2020 11:10,NA,NA,4S33D46_PS2
24/07/2020 16:04,NA,NA,1S37H15_PS2
24/07/2020 16:04,NA,NA,1S35D46_PS1
23/07/2020 13:44,NA,NA,1N38H15_P4
23/07/2020 13:44,NA,NA,2N38D46_O4
26/07/2020 13:52,NA,NA,6N18BLE_O1
30/07/2020 0:00,NA,NA,4S33D46_C2
31/07/2020 15:00,NA,NA,6N18D46_O2
2/08/2020 13:50,NA,NA,7N216RL_O1
4/08/2020 11:44,NA,NA,2S35H16_P3
13/08/2020 12:00,0.93,0.68,2N40P08_P4
16/08/2020 13:00,NA,NA,2S33D13_PA3
17/08/2020 15:00,NA,NA,6N20H16_CL3
23/08/2020 13:28,16.09,52.51,1S35D46_C1
23/08/2020 13:28,16.09,52.51,1S37H15_O2
26/08/2020 15:48,3.4,1.98,3N41D11_CL1
26/08/2020 15:48,3.4,1.98,1N41Q01_P2
31/08/2020 12:58,0.47,0.33,5N36H16_P2
31/08/2020 12:58,0.47,0.33,3N41D11_CL2
2/09/2020 16:00,0.14,0.11,6N16D01_FL1
2/09/2020 17:00,0.14,0.11,6N18D46_O3
6/09/2020 14:28,0.38,0.37,5N36H16_P3
6/09/2020 14:28,0.38,0.37,5N37P08_T1
12/09/2020 16:00,NA,0.27,5N33D11_P1
12/09/2020 17:00,NA,0.27,5N32D11_FL5
13/09/2020 14:30,2.69,1.06,1N38H15_T1
19/09/2020 14:28,0.66,0.28,7N21D11_PS1
19/09/2020 14:28,0.66,0.28,6N20H15_P1
24/09/2020 14:14,4.58,2.71,2S35H16_P4
24/09/2020 14:14,4.58,2.71,1S38H16_P2
29/09/2020 12:05,0.17,NA,6N20H16_P5
30/09/2020 14:05,0.3,0.37,2N40P08_P5
4/10/2020 16:07,0.23,0.48,3N42P08_P1
6/10/2020 14:09,0.34,0.17,7N21D11_C1
7/10/2020 15:28,6.21,2.8,5N38Q01_P1
10/10/2020 12:00,0.12,0.13,5N38Q01_P1
12/10/2020 13:09,1.51,1.6,3N42P08_P2
12/10/2020 13:09,1.51,1.6,2N37D11_PS2
20/10/2020 11:58,0.39,0.71,11S25D46_P1
25/10/2020 11:35,17.17,45.2,1S38H16_P1
30/10/2020 12:00,0.17,0.15,7N22H15_P2
30/10/2020 12:00,0.17,0.15,6N20H15_P2
1/11/2020 14:42,3.77,3.03,2S34D47_PS1
8/11/2020 12:00,0.64,0.94,2N40P08_P6
8/11/2020 12:00,0.64,0.94,5N35H15_T1
9/11/2020 13:09,11.27,1.95,1N41Q01_P3
13/11/2020 15:00,3.28,1.55,1S38Q01_P4
17/11/2020 14:32,22.88,6.05,2N37D11_C2
17/11/2020 14:32,22.88,6.05,1N39D46_PS1
17/11/2020 14:32,22.88,6.05,1N38D13_PS1
24/11/2020 14:30,0.07,0.06,5N33D11_T1
26/11/2020 14:15,NA,NA,2S34D47_C1
26/11/2020 14:15,NA,NA,1S37H15_T1
29/11/2020 14:05,NA,NA,1N38D13_C1
29/11/2020 14:05,NA,NA,1N38D46_O2
5/12/2020 14:03,2.14,1.61,2S35H15_O1
7/12/2020 16:34,0.75,0.94,3N42P08_P3
14/12/2020 14:07,0.1,0.14,5N345D46_P1
14/12/2020 14:07,0.1,0.14,5N33D11_T2
16/12/2020 14:06,0.28,0.29,6N18D11_PS1
20/12/2020 13:14,3.09,2.69,1N39D46_O1
23/12/2020 13:40,0.49,0.59,5N37H16_P1
29/12/2020 12:01,0.14,0.14,7N23P08_P2
5/01/2021 14:01,0.75,0.93,5N35H15_P3
19/01/2021 12:30,NA,NA,1S35D13_PA1
2/02/2021 12:05,0.33,0.56,4S33D45_O1
29/01/2021 13:58,0.54,0.42,6N18D11_C1
3/02/2021 14:46,16.74,37.46,1S38H16_P3
6/02/2021 13:00,0.14,0.14,6N22P08_P1
14/02/2021 13:07,2.15,1.12,2S36Q01_P1
11/02/2021 13:50,2.36,3.57,2N38D11_C1
11/02/2021 13:50,2.36,3.57,2N40H13_P1
20/02/2021 14:49,0.27,0.17,5N34D46_P2
20/02/2021 14:49,0.27,0.17,5N35D46_PS1
18/02/2021 12:00,NA,NA,1S35D13_PA2
23/02/2021 14:15,1.12,1.3,2N41P08_P1
1/03/2021 14:00,NA,NA,2S33D13_PA4
2/03/2021 11:00,0.53,0.88,3N42P08_P4
3/03/2021 15:43,NA,NA,1125D14_PS1
4/03/2021 15:45,1,1.53,2N40H13_CL1
8/03/2021 13:53,0.37,0.32,5N37H16_P2
8/03/2021 13:53,0.37,0.32,5N38Q01_P2
8/03/2021 13:50,0.37,0.32,7N21D01_PA1
11/03/2021 13:35,17.43,17.36,1S38P08_P2
11/03/2021 13:35,17.43,17.36,1S37H15_T2
11/03/2021 13:35,17.43,17.36,1S38H16_P4
14/03/2021 13:03,6.93,7.58,1N41H16_P1
16/03/2021 9:57,0.12,0.07,7N23H16_P1
20/03/2021 14:57,0.93,0.78,2N40H13_P2
26/03/2021 13:00,0.16,0.19,6N19D46_P1
26/03/2021 13:00,0.16,0.19,7N22D46_PS1
29/03/2021 14:00,NA,NA,11S25D14_C1
30/03/2021 15:02,4.15,1.16,1N38D13_PS2
3/04/2021 14:14,0.18,0.22,5N37H16_P3
7/04/2021 14:40,0.69,0.89,2N38D11_T1
9/04/2021 13:03,0.14,0.16,7N22D46_O1
11/04/2021 14:23,3.36,43.74,1N41H16_P2
11/04/2021 14:23,12.1,4.13,1S37H15_T3
17/04/2021 15:02,4.07,3.96,1N38D13_C2
17/04/2021 15:02,4.07,3.96,2S36Q01_P2
26/04/2021 15:21,0.27,0.35,6N20H08_P1
29/04/2021 14:42,0.16,NA,3N42H13_P1
1/05/2021 2:42,2.66,2,2S34D47_C2
1/05/2021 2:42,2.66,2,2S35H15_O2
6/05/2021 15:03,0.43,0.13,6N22P08_P2
8/05/2021 11:45,NA,NA,1S37H15_T4
9/05/2021 15:39,0.41,0.88,2N42Q01_P1
13/05/2021 13:51,0.18,0.19,5N35D46_P1
13/05/2021 13:51,0.18,0.19,3N42H13_CL1
20/05/2021 13:13,0.51,0.47,5N34D11_PS1
23/05/2021 2:05,0.34,0.43,2N42Q01_P2
25/05/2021 11:30,NA,NA,11S25D46_T1
27/05/2021 13:53,2.38,1.74,2N38D11_C2
5/06/2021 11:30,13.13,33.24,2S34D13_PA1
5/06/2021 11:30,13.13,33.24,1S38H15_P1
8/06/2021 14:58,0.97,1.18,2N41P08_P2
